CfgID,GUID,IN_E11,IN_E22,IN_ElemCount,IN_HubMaterial,IN_Root_AvgCapMaterialThickness,IN_Tip_AvgCapMaterialThickness,OUT_Blade_Cost_Total,OUT_Blade_Tip_Deflection
32-16,8a3c95db-2fa6-4fbc-badd-34a119d1c37e,31827.15281,36317.92187,19,Steel,84.80964546,29.857371,160810.6149,2017.979767
32-20,ed6f8e6c-5354-4baf-b8d8-b14ca2b521ba,29969.31799,53028.38916,55,Steel,82.47226524,23.50486601,149604.2417,2464.846881
30-16,61d740c5-7e81-426c-a108-9a86f99d0d83,31217.03467,71226.59465,24,Steel,91.88164734,27.2432532,163271.4939,2097.900363
30-16,2d0d1118-670e-436f-8be2-7ff92a1a9e96,30713.66862,28238.39977,45,Steel,82.23890605,21.03721642,145222.7833,2524.393676
32-16,78741057-d751-40c1-8fbb-18975ef4e6f5,26419.38197,87159.59242,35,Steel,90.4026362,28.65389043,145971.1753,2414.458154
32-16,c80aa80d-e78a-47a4-956d-2245137f7e7b,27116.49253,47681.55908,35,Steel,83.85614121,26.32421756,159200.9769,2379.458078
32-16,7a777fb0-cec2-4133-b417-4153f37bb059,30576.17032,62186.67237,57,Steel,91.51243301,24.77729465,165333.62,2134.954148
32-16,3d1e7f82-6be9-448a-a5d8-9eece1039b02,30321.85536,43591.43674,36,Steel,86.28333264,25.03639901,161020.8454,2219.600556
30-20,97556643-bab9-4eeb-9eaa-f15296f6de98,31138.09691,53364.83835,18,Steel,95.40356451,20.12337422,167725.7741,2220.21124
28-16,5fbd2be5-2726-43f0-baf2-a32bbb89e86b,27717.76531,51378.35401,57,Steel,86.25769848,21.49190268,154361.9238,2705.755009
32-20,6a37ee99-9a33-41fe-a689-f45bba799ada,29701.29942,49154.92086,16,Steel,84.97099219,23.54590019,159701.0758,2328.622361
30-20,84976fdb-a489-4673-b627-cd7ee97d4a30,30921.92892,64517.81184,15,Steel,82.1330647,24.17295722,147080.0829,2418.401806
30-16,faa328e9-798a-4d33-b4a0-16ab5b211cd2,26140.58527,23093.1993,25,Steel,92.55192706,21.59440897,162072.5054,2485.852026
28-20,d6b864a5-2acd-4f01-a955-cfd3ade98462,29275.32575,21725.43561,31,Steel,84.30071856,26.78417801,154821.4971,2552.630879
30-16,b013d646-f47a-419e-941c-6323deb72f08,28793.47922,31781.76529,27,Steel,79.355814,26.54645531,144438.4331,2482.403565
32-16,afe2238c-f92b-4717-b1d1-142a81d785b4,27377.84753,25702.64883,35,Steel,95.69231723,29.13347416,172901.6192,2071.79404
